year,month,day,bookings,season
2015,August,1,60,Summer
2015,August,2,43,Summer
2015,August,3,73,Summer
2015,August,4,39,Summer
2015,August,5,90,Summer
2015,August,6,48,Summer
2015,August,7,77,Summer
2015,August,8,106,Summer
2015,August,9,71,Summer
2015,August,10,128,Summer
2015,August,11,89,Summer
2015,August,12,83,Summer
2015,August,13,53,Summer
2015,August,14,119,Summer
2015,August,15,101,Summer
2015,August,16,74,Summer
2015,August,17,108,Summer
2015,August,18,68,Summer
2015,August,19,58,Summer
2015,August,20,60,Summer
2015,August,21,62,Summer
2015,August,22,80,Summer
2015,August,23,62,Summer
2015,August,24,84,Summer
2015,August,25,67,Summer
2015,August,26,73,Summer
2015,August,27,39,Summer
2015,August,28,59,Summer
2015,August,29,89,Summer
2015,August,30,49,Summer
2015,August,31,79,Summer
2015,December,1,45,Winter
2015,December,2,52,Winter
2015,December,3,59,Winter
2015,December,4,76,Winter
2015,December,5,255,Winter
2015,December,6,44,Winter
2015,December,7,23,Winter
2015,December,8,24,Winter
2015,December,9,68,Winter
2015,December,10,78,Winter
2015,December,11,43,Winter
2015,December,12,40,Winter
2015,December,13,15,Winter
2015,December,14,36,Winter
2015,December,15,26,Winter
2015,December,16,41,Winter
2015,December,17,43,Winter
2015,December,18,42,Winter
2015,December,19,54,Winter
2015,December,20,28,Winter
2015,December,21,38,Winter
2015,December,22,55,Winter
2015,December,23,54,Winter
2015,December,24,69,Winter
2015,December,25,40,Winter
2015,December,26,84,Winter
2015,December,27,83,Winter
2015,December,28,74,Winter
2015,December,29,101,Winter
2015,December,30,171,Winter
2015,December,31,86,Winter
2015,July,1,103,Summer
2015,July,2,36,Summer
2015,July,3,37,Summer
2015,July,4,45,Summer
2015,July,5,37,Summer
2015,July,6,41,Summer
2015,July,7,29,Summer
2015,July,8,45,Summer
2015,July,9,29,Summer
2015,July,10,42,Summer
2015,July,11,61,Summer
2015,July,12,37,Summer
2015,July,13,39,Summer
2015,July,14,24,Summer
2015,July,15,54,Summer
2015,July,16,41,Summer
2015,July,17,106,Summer
2015,July,18,77,Summer
2015,July,19,36,Summer
2015,July,20,53,Summer
2015,July,21,27,Summer
2015,July,22,43,Summer
2015,July,23,66,Summer
2015,July,24,49,Summer
2015,July,25,101,Summer
2015,July,26,32,Summer
2015,July,27,73,Summer
2015,July,28,28,Summer
2015,July,29,34,Summer
2015,July,30,41,Summer
2015,July,31,51,Summer
2015,November,1,49,Fall
2015,November,2,55,Fall
2015,November,3,65,Fall
2015,November,4,45,Fall
2015,November,5,55,Fall
2015,November,6,84,Fall
2015,November,7,80,Fall
2015,November,8,45,Fall
2015,November,9,45,Fall
2015,November,10,39,Fall
2015,November,11,51,Fall
2015,November,12,45,Fall
2015,November,13,28,Fall
2015,November,14,33,Fall
2015,November,15,24,Fall
2015,November,16,63,Fall
2015,November,17,74,Fall
2015,November,18,161,Fall
2015,November,19,44,Fall
2015,November,20,133,Fall
2015,November,21,81,Fall
2015,November,22,36,Fall
2015,November,23,140,Fall
2015,November,24,65,Fall
2015,November,25,42,Fall
2015,November,26,49,Fall
2015,November,27,114,Fall
2015,November,28,47,Fall
2015,November,29,15,Fall
2015,November,30,47,Fall
2015,October,1,87,Fall
2015,October,2,183,Fall
2015,October,3,60,Fall
2015,October,4,115,Fall
2015,October,5,108,Fall
2015,October,6,110,Fall
2015,October,7,132,Fall
2015,October,8,84,Fall
2015,October,9,132,Fall
2015,October,10,131,Fall
2015,October,11,68,Fall
2015,October,12,161,Fall
2015,October,13,90,Fall
2015,October,14,69,Fall
2015,October,15,188,Fall
2015,October,16,134,Fall
2015,October,17,62,Fall
2015,October,18,98,Fall
2015,October,19,170,Fall
2015,October,20,94,Fall
2015,October,21,103,Fall
2015,October,22,76,Fall
2015,October,23,86,Fall
2015,October,24,61,Fall
2015,October,25,135,Fall
2015,October,26,61,Fall
2015,October,27,52,Fall
2015,October,28,133,Fall
2015,October,29,76,Fall
2015,October,30,68,Fall
2015,October,31,98,Fall
2015,September,1,82,Fall
2015,September,2,73,Fall
2015,September,3,89,Fall
2015,September,4,150,Fall
2015,September,5,95,Fall
2015,September,6,127,Fall
2015,September,7,92,Fall
2015,September,8,70,Fall
2015,September,9,137,Fall
2015,September,10,64,Fall
2015,September,11,133,Fall
2015,September,12,102,Fall
2015,September,13,51,Fall
2015,September,14,113,Fall
2015,September,15,80,Fall
2015,September,16,119,Fall
2015,September,17,137,Fall
2015,September,18,137,Fall
2015,September,19,119,Fall
2015,September,20,87,Fall
2015,September,21,147,Fall
2015,September,22,87,Fall
2015,September,23,114,Fall
2015,September,24,96,Fall
2015,September,25,152,Fall
2015,September,26,84,Fall
2015,September,27,51,Fall
2015,September,28,64,Fall
2015,September,29,64,Fall
2015,September,30,104,Fall
2016,April,1,77,Spring
2016,April,2,69,Spring
2016,April,3,68,Spring
2016,April,4,151,Spring
2016,April,5,86,Spring
2016,April,6,148,Spring
2016,April,7,118,Spring
2016,April,8,128,Spring
2016,April,9,150,Spring
2016,April,10,83,Spring
2016,April,11,127,Spring
2016,April,12,93,Spring
2016,April,13,112,Spring
2016,April,14,79,Spring
2016,April,15,107,Spring
2016,April,16,120,Spring
2016,April,17,99,Spring
2016,April,18,163,Spring
2016,April,19,78,Spring
2016,April,20,148,Spring
2016,April,21,89,Spring
2016,April,22,132,Spring
2016,April,23,120,Spring
2016,April,24,83,Spring
2016,April,25,93,Spring
2016,April,26,134,Spring
2016,April,27,104,Spring
2016,April,28,124,Spring
2016,April,29,139,Spring
2016,April,30,145,Spring
2016,August,1,144,Summer
2016,August,2,94,Summer
2016,August,3,103,Summer
2016,August,4,104,Summer
2016,August,5,90,Summer
2016,August,6,100,Summer
2016,August,7,93,Summer
2016,August,8,142,Summer
2016,August,9,86,Summer
2016,August,10,76,Summer
2016,August,11,97,Summer
2016,August,12,119,Summer
2016,August,13,114,Summer
2016,August,14,95,Summer
2016,August,15,112,Summer
2016,August,16,105,Summer
2016,August,17,91,Summer
2016,August,18,143,Summer
2016,August,19,92,Summer
2016,August,20,137,Summer
2016,August,21,112,Summer
2016,August,22,119,Summer
2016,August,23,77,Summer
2016,August,24,93,Summer
2016,August,25,102,Summer
2016,August,26,107,Summer
2016,August,27,83,Summer
2016,August,28,116,Summer
2016,August,29,111,Summer
2016,August,30,87,Summer
2016,August,31,94,Summer
2016,December,1,76,Winter
2016,December,2,119,Winter
2016,December,3,119,Winter
2016,December,4,56,Winter
2016,December,5,111,Winter
2016,December,6,55,Winter
2016,December,7,72,Winter
2016,December,8,154,Winter
2016,December,9,69,Winter
2016,December,10,71,Winter
2016,December,11,31,Winter
2016,December,12,55,Winter
2016,December,13,65,Winter
2016,December,14,66,Winter
2016,December,15,50,Winter
2016,December,16,81,Winter
2016,December,17,82,Winter
2016,December,18,52,Winter
2016,December,19,72,Winter
2016,December,20,53,Winter
2016,December,21,63,Winter
2016,December,22,69,Winter
2016,December,23,78,Winter
2016,December,24,86,Winter
2016,December,25,54,Winter
2016,December,26,71,Winter
2016,December,27,154,Winter
2016,December,28,85,Winter
2016,December,29,95,Winter
2016,December,30,149,Winter
2016,December,31,49,Winter
2016,February,1,48,Winter
2016,February,2,50,Winter
2016,February,3,70,Winter
2016,February,4,86,Winter
2016,February,5,100,Winter
2016,February,6,166,Winter
2016,February,7,88,Winter
2016,February,8,71,Winter
2016,February,9,54,Winter
2016,February,10,65,Winter
2016,February,11,72,Winter
2016,February,12,154,Winter
2016,February,13,152,Winter
2016,February,14,76,Winter
2016,February,15,73,Winter
2016,February,16,70,Winter
2016,February,17,74,Winter
2016,February,18,70,Winter
2016,February,19,154,Winter
2016,February,20,88,Winter
2016,February,21,51,Winter
2016,February,22,91,Winter
2016,February,23,58,Winter
2016,February,24,69,Winter
2016,February,25,94,Winter
2016,February,26,120,Winter
2016,February,27,167,Winter
2016,February,28,66,Winter
2016,February,29,57,Winter
2016,January,1,33,Winter
2016,January,2,119,Winter
2016,January,3,44,Winter
2016,January,4,66,Winter
2016,January,5,38,Winter
2016,January,6,44,Winter
2016,January,7,41,Winter
2016,January,8,47,Winter
2016,January,9,42,Winter
2016,January,10,39,Winter
2016,January,11,39,Winter
2016,January,12,54,Winter
2016,January,13,41,Winter
2016,January,14,78,Winter
2016,January,15,66,Winter
2016,January,16,53,Winter
2016,January,17,31,Winter
2016,January,18,49,Winter
2016,January,19,109,Winter
2016,January,20,56,Winter
2016,January,21,55,Winter
2016,January,22,49,Winter
2016,January,23,62,Winter
2016,January,24,31,Winter
2016,January,25,64,Winter
2016,January,26,60,Winter
2016,January,27,70,Winter
2016,January,28,67,Winter
2016,January,29,67,Winter
2016,January,30,47,Winter
2016,January,31,30,Winter
2016,July,1,92,Summer
2016,July,2,83,Summer
2016,July,3,86,Summer
2016,July,4,106,Summer
2016,July,5,92,Summer
2016,July,6,96,Summer
2016,July,7,84,Summer
2016,July,8,94,Summer
2016,July,9,98,Summer
2016,July,10,89,Summer
2016,July,11,110,Summer
2016,July,12,91,Summer
2016,July,13,91,Summer
2016,July,14,89,Summer
2016,July,15,93,Summer
2016,July,16,109,Summer
2016,July,17,88,Summer
2016,July,18,129,Summer
2016,July,19,79,Summer
2016,July,20,92,Summer
2016,July,21,154,Summer
2016,July,22,85,Summer
2016,July,23,139,Summer
2016,July,24,92,Summer
2016,July,25,115,Summer
2016,July,26,85,Summer
2016,July,27,83,Summer
2016,July,28,98,Summer
2016,July,29,87,Summer
2016,July,30,161,Summer
2016,July,31,83,Summer
2016,June,1,88,Summer
2016,June,2,140,Summer
2016,June,3,118,Summer
2016,June,4,96,Summer
2016,June,5,63,Summer
2016,June,6,200,Summer
2016,June,7,65,Summer
2016,June,8,83,Summer
2016,June,9,111,Summer
2016,June,10,136,Summer
2016,June,11,81,Summer
2016,June,12,94,Summer
2016,June,13,99,Summer
2016,June,14,86,Summer
2016,June,15,134,Summer
2016,June,16,89,Summer
