year,month,day,count
2015,August,1,60
2015,August,2,43
2015,August,3,73
2015,August,4,39
2015,August,5,90
2015,August,6,48
2015,August,7,77
2015,August,8,106
2015,August,9,71
2015,August,10,128
2015,August,11,89
2015,August,12,83
2015,August,13,53
2015,August,14,119
2015,August,15,101
2015,August,16,74
2015,August,17,108
2015,August,18,68
2015,August,19,58
2015,August,20,60
2015,August,21,62
2015,August,22,80
2015,August,23,62
2015,August,24,84
2015,August,25,67
2015,August,26,73
2015,August,27,39
2015,August,28,59
2015,August,29,89
2015,August,30,49
2015,August,31,79
2015,December,1,45
2015,December,2,52
2015,December,3,59
2015,December,4,76
2015,December,5,255
2015,December,6,44
2015,December,7,23
2015,December,8,24
2015,December,9,68
2015,December,10,78
2015,December,11,43
2015,December,12,40
2015,December,13,15
2015,December,14,36
2015,December,15,26
2015,December,16,41
2015,December,17,43
2015,December,18,42
2015,December,19,54
2015,December,20,28
2015,December,21,38
2015,December,22,55
2015,December,23,54
2015,December,24,69
2015,December,25,40
2015,December,26,84
2015,December,27,83
2015,December,28,74
2015,December,29,101
2015,December,30,171
2015,December,31,86
2015,July,1,103
2015,July,2,36
2015,July,3,37
2015,July,4,45
2015,July,5,37
2015,July,6,41
2015,July,7,29
2015,July,8,45
2015,July,9,29
2015,July,10,42
2015,July,11,61
2015,July,12,37
2015,July,13,39
2015,July,14,24
2015,July,15,54
2015,July,16,41
2015,July,17,106
2015,July,18,77
2015,July,19,36
2015,July,20,53
2015,July,21,27
2015,July,22,43
2015,July,23,66
2015,July,24,49
2015,July,25,101
2015,July,26,32
2015,July,27,73
2015,July,28,28
2015,July,29,34
2015,July,30,41
2015,July,31,51
2015,November,1,49
2015,November,2,55
2015,November,3,65
2015,November,4,45
2015,November,5,55
2015,November,6,84
2015,November,7,80
2015,November,8,45
2015,November,9,45
2015,November,10,39
2015,November,11,51
2015,November,12,45
2015,November,13,28
2015,November,14,33
2015,November,15,24
2015,November,16,63
2015,November,17,74
2015,November,18,161
2015,November,19,44
2015,November,20,133
2015,November,21,81
2015,November,22,36
2015,November,23,140
2015,November,24,65
2015,November,25,42
2015,November,26,49
2015,November,27,114
2015,November,28,47
2015,November,29,15
2015,November,30,47
2015,October,1,87
2015,October,2,183
2015,October,3,60
2015,October,4,115
2015,October,5,108
2015,October,6,110
2015,October,7,132
2015,October,8,84
2015,October,9,132
2015,October,10,131
2015,October,11,68
2015,October,12,161
2015,October,13,90
2015,October,14,69
2015,October,15,188
2015,October,16,134
2015,October,17,62
